YEAR,CRIME,TYPE,AMOUNT
1996,Violent Crime,Murder,19645
1996,Violent Crime,Rape (Leg),96252
1996,Violent Crime,Robbery,535594
1996,Violent Crime,Aggravated Assault,1037049
1996,Property Crime,Burglary,2506400
1996,Property Crime,Larceny-Theft,7904685
1996,Property Crime,Motor Vehicle Theft,1394238
1997,Violent Crime,Murder,18208
1997,Violent Crime,Rape (Leg),96153
1997,Violent Crime,Robbery,498534
1997,Violent Crime,Aggravated Assault,1023201
1997,Property Crime,Burglary,2460526
1997,Property Crime,Larceny-Theft,7743760
1997,Property Crime,Motor Vehicle Theft,1354189
1998,Violent Crime,Murder,16974
1998,Violent Crime,Rape (Leg),93144
1998,Violent Crime,Robbery,447186
1998,Violent Crime,Aggravated Assault,976583
1998,Property Crime,Burglary,2332735
1998,Property Crime,Larceny-Theft,7376311
1998,Property Crime,Motor Vehicle Theft,1242781
1999,Violent Crime,Murder,15522
1999,Violent Crime,Rape (Leg),89411
1999,Violent Crime,Robbery,409371
1999,Violent Crime,Aggravated Assault,911740
1999,Property Crime,Burglary,2100739
1999,Property Crime,Larceny-Theft,6955520
1999,Property Crime,Motor Vehicle Theft,1152075
2000,Violent Crime,Murder,15586
2000,Violent Crime,Rape (Leg),90178
2000,Violent Crime,Robbery,408016
2000,Violent Crime,Aggravated Assault,911706
2000,Property Crime,Burglary,2050992
2000,Property Crime,Larceny-Theft,6971590
2000,Property Crime,Motor Vehicle Theft,1160002
2001,Violent Crime,Murder,16037
2001,Violent Crime,Rape (Leg),90863
2001,Violent Crime,Robbery,423557
2001,Violent Crime,Aggravated Assault,909023
2001,Property Crime,Burglary,2116531
2001,Property Crime,Larceny-Theft,7092267
2001,Property Crime,Motor Vehicle Theft,1228391
2002,Violent Crime,Murder,16229
2002,Violent Crime,Rape (Leg),95235
2002,Violent Crime,Robbery,420806
2002,Violent Crime,Aggravated Assault,891407
2002,Property Crime,Burglary,2151252
2002,Property Crime,Larceny-Theft,7057379
2002,Property Crime,Motor Vehicle Theft,1246646
2003,Violent Crime,Murder,16528
2003,Violent Crime,Rape (Leg),93883
2003,Violent Crime,Robbery,414235
2003,Violent Crime,Aggravated Assault,859030
2003,Property Crime,Burglary,2154834
2003,Property Crime,Larceny-Theft,7026802
2003,Property Crime,Motor Vehicle Theft,1261226
2004,Violent Crime,Murder,16148
2004,Violent Crime,Rape (Leg),95089
2004,Violent Crime,Robbery,401470
2004,Violent Crime,Aggravated Assault,847381
2004,Property Crime,Burglary,2144446
2004,Property Crime,Larceny-Theft,6937089
2004,Property Crime,Motor Vehicle Theft,1237851
2005,Violent Crime,Murder,16740
2005,Violent Crime,Rape (Leg),94347
2005,Violent Crime,Robbery,417438
2005,Violent Crime,Aggravated Assault,862220
2005,Property Crime,Burglary,2155448
2005,Property Crime,Larceny-Theft,6783447
2005,Property Crime,Motor Vehicle Theft,1235859
2006,Violent Crime,Murder,17309
2006,Violent Crime,Rape (Leg),94472
2006,Violent Crime,Robbery,449246
2006,Violent Crime,Aggravated Assault,874096
2006,Property Crime,Burglary,2194993
2006,Property Crime,Larceny-Theft,6626363
2006,Property Crime,Motor Vehicle Theft,1198245
2007,Violent Crime,Murder,17128
2007,Violent Crime,Rape (Leg),92160
2007,Violent Crime,Robbery,447324
2007,Violent Crime,Aggravated Assault,866358
2007,Property Crime,Burglary,2190198
2007,Property Crime,Larceny-Theft,6591542
2007,Property Crime,Motor Vehicle Theft,1100472
2008,Violent Crime,Murder,16465
2008,Violent Crime,Rape (Leg),90750
2008,Violent Crime,Robbery,443563
