STATE,CODE,POPULATION
Maine,ME,1274923
New Hampshire,NH,1235786
Vermont,VT,608827
Massachusetts,MA,6349097
Rhode Island,RI,1048319
Connecticut,CT,3405565
New York,NY,18976457
New Jersey,NJ,8414350
Pennsylvania,PA,12281054
Ohio,OH,11353140
Indiana,IN,6080485
Illinois,IL,12419293
Michigan,MI,9938444
Wisconsin,WI,5363675
Minnesota,MN,4919479
Iowa,IA,2926324
Missouri,MO,5595211
North Dakota,ND,642200
South Dakota,SD,754844
Nebraska,NE,1711263
Kansas,KS,2688418
Delaware,DE,783600
Maryland,MD,5296486
District of Columbia,DC,572059
Virginia,VA,7078515
West Virginia,WV,1808344
North Carolina,NC,8049313
South Carolina,SC,4012012
Georgia,GA,8186453
Florida,FL,15982378
Kentucky,KY,4041769
Tennessee,TN,5689283
Alabama,AL,4447100
Mississippi,MS,2844658
Arkansas,AR,2673400
Louisiana,LA,4468976
Oklahoma,OK,3450654
Texas,TX,20851820
Montana,MT,902195
Idaho,ID,1293953
Wyoming,WY,493782
Colorado,CO,4301261
New Mexico,NM,1819046
Arizona,AZ,5130632
Utah,UT,2233169
Nevada,NV,1998257
Washington,WA,5894121
Oregon,OR,3421399
California,CA,33871648
Alaska,AK,626932
Hawaii,HI,1211537
